Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1930-10-01,10,1930,8.50173333333333,1,876.1666666666666,28.0,10.0,0.0,0.0,153.33333333333334,1068.3333333333333
1930-11-01,11,1930,8.51013333333333,1,869.0833333333334,28.0,10.0,0.0,0.0,152.66666666666666,1060.6666666666667
1930-12-01,12,1930,8.520149999999996,1,862.0,28.0,10.0,0.0,0.0,152.0,1053.0
1931-01-01,1,1931,8.518324999999997,1,853.4166666666666,27.75,9.833333333333334,0.0,0.0,151.58333333333334,1043.5833333333333
1931-02-01,2,1931,8.514849999999997,1,844.8333333333334,27.5,9.666666666666666,0.0,0.0,151.16666666666666,1034.1666666666667
1931-03-01,3,1931,8.51600833333333,1,836.25,27.25,9.5,0.0,0.0,150.75,1024.75
1931-04-01,4,1931,8.514666666666663,1,827.6666666666666,27.0,9.333333333333334,0.0,0.0,150.33333333333334,1015.3333333333334
1931-05-01,5,1931,8.512791666666665,1,819.0833333333334,26.75,9.166666666666666,0.0,0.0,149.91666666666666,1005.9166666666666
1931-06-01,6,1931,8.513899999999998,1,810.5,26.5,9.0,0.0,0.0,149.5,996.5
1931-07-01,7,1931,8.515066666666664,1,801.9166666666666,26.25,8.833333333333334,0.0,0.0,149.08333333333334,987.0833333333334
1931-08-01,8,1931,8.519724999999998,1,793.3333333333334,26.0,8.666666666666666,0.0,0.0,148.66666666666666,977.6666666666666
1931-09-01,9,1931,8.523174999999998,1,784.75,25.75,8.5,0.0,0.0,148.25,968.25
1931-10-01,10,1931,8.52878333333333,1,776.1666666666666,25.5,8.333333333333334,0.0,0.0,147.83333333333334,958.8333333333334
1931-11-01,11,1931,8.531941666666663,1,767.5833333333334,25.25,8.166666666666666,0.0,0.0,147.41666666666666,949.4166666666666
1931-12-01,12,1931,8.534974999999998,1,759.0,25.0,8.0,0.0,0.0,147.0,940.0
1932-01-01,1,1932,8.547091666666663,1,752.0,24.916666666666668,7.916666666666667,0.0,0.0,146.5,932.25
1932-02-01,2,1932,8.552199999999997,1,745.0,24.833333333333332,7.833333333333333,0.0,0.0,146.0,924.5
1932-03-01,3,1932,8.550399999999998,1,738.0,24.75,7.75,0.0,0.0,145.5,916.75
1932-04-01,4,1932,8.553641666666664,1,731.0,24.666666666666668,7.666666666666667,0.0,0.0,145.0,909.0
1932-05-01,5,1932,8.554824999999997,1,724.0,24.583333333333332,7.583333333333333,0.0,0.0,144.5,901.25
1932-06-01,6,1932,8.555258333333333,1,717.0,24.5,7.5,0.0,0.0,144.0,893.5
1932-07-01,7,1932,8.556041666666665,1,710.0,24.416666666666668,7.416666666666667,0.0,0.0,143.5,885.75
1932-08-01,8,1932,8.557341666666666,1,703.0,24.333333333333332,7.333333333333333,0.0,0.0,143.0,878.0
1932-09-01,9,1932,8.561799999999998,1,696.0,24.25,7.25,0.0,0.0,142.5,870.25
1932-10-01,10,1932,8.567016666666664,1,689.0,24.166666666666668,7.166666666666667,0.0,0.0,142.0,862.5
1932-11-01,11,1932,8.565866666666663,1,682.0,24.083333333333332,7.083333333333333,0.0,0.0,141.5,854.75
1932-12-01,12,1932,8.564699999999998,1,675.0,24.0,7.0,0.0,0.0,141.0,847.0
1933-01-01,1,1933,8.562049999999997,1,677.75,24.083333333333332,7.0,0.0,0.0,142.08333333333334,850.8333333333334
1933-02-01,2,1933,8.562833333333327,1,680.5,24.166666666666668,7.0,0.0,0.0,143.16666666666666,854.6666666666666
1933-03-01,3,1933,8.562858333333331,1,683.25,24.25,7.0,0.0,0.0,144.25,858.5
1933-04-01,4,1933,8.565991666666664,1,686.0,24.333333333333332,7.0,0.0,0.0,145.33333333333334,862.3333333333334
1933-05-01,5,1933,8.567641666666663,1,688.75,24.416666666666668,7.0,0.0,0.0,146.41666666666666,866.1666666666666
1933-06-01,6,1933,8.566091666666663,1,691.5,24.5,7.0,0.0,0.0,147.5,870.0
1933-07-01,7,1933,8.568191666666662,1,694.25,24.583333333333332,7.0,0.0,0.0,148.58333333333334,873.8333333333334
1933-08-01,8,1933,8.569433333333329,1,697.0,24.666666666666668,7.0,0.0,0.0,149.66666666666666,877.6666666666666
1933-09-01,9,1933,8.569191666666661,1,699.75,24.75,7.0,0.0,0.0,150.75,881.5
1933-10-01,10,1933,8.566841666666663,1,702.5,24.833333333333332,7.0,0.0,0.0,151.83333333333334,885.3333333333334
1933-11-01,11,1933,8.562774999999998,1,705.25,24.916666666666668,7.0,0.0,0.0,152.91666666666666,889.1666666666666
1933-12-01,12,1933,8.55630833333333,1,708.0,25.0,7.0,0.0,0.0,154.0,893.0
